Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,11200,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer,Normal,Normal,Single-Family Detached,One Story,Average,Average,1965,1965,Hip,Standard Shingle,Hard Board,Hard Board,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Rec Room,906,Unfinished,0,134,1040,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040,0,0,1040,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,,Detached,1965.0,Unfinished,1,384,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,2,2008,Warranty Deed - Conventional,Normal Sale,129500
12,2-STORY 1946 & NEWER,Residential Low Density,85.0,11924,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,Two Story,Excellent,Average,2005,2006,Hip,Standard Shingle,Wood Shingles,,Stone,286.0,Excellent,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,No Exposure,Good Living Quarters,998,Unfinished,0,177,1175,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1182,1142,0,2324,1,0,3,0,4,1,Excellent,11,Typical Functionality,2,Good - Masonry Fireplace,Built-In Garage,2005.0,Finished,3,736,Typical/Average,Typical/Average,Paved,147,21,0,0,0,0,,,,0,7,2006,Newly Constructed,Incomplete Construction,345000
13,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,12968,Paved,,Moderately Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer,Normal,Normal,Single-Family Detached,One Story,Average,Above Average,1962,1962,Hip,Standard Shingle,Hard Board,Plywood,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Living Quarters,737,Unfinished,0,175,912,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,912,0,0,912,1,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,,Detached,1962.0,Unfinished,1,352,Typical/Average,Typical/Average,Paved,140,0,0,0,176,0,,,,0,9,2008,Warranty Deed - Conventional,Normal Sale,144000
14,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,91.0,10652,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,One Story,Good,Average,2006,2007,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,306.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,Average Exposure,Unfinished,0,Unfinished,0,1494,1494,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1494,0,0,1494,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2006.0,Rough Finished,3,840,Typical/Average,Typical/Average,Paved,160,33,0,0,0,0,,,,0,8,2007,Newly Constructed,Incomplete Construction,279500
15,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,10920,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Above Average,Average,1960,1960,Hip,Standard Shingle,Metal Siding,Metal Siding,Brick Face,212.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Below Average Living Quarters,733,Unfinished,0,520,1253,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1253,0,0,1253,1,0,1,1,2,1,Typical/Average,5,Typical Functionality,1,Fair - Prefabricated Fireplace,Attached,1960.0,Rough Finished,1,352,Typical/Average,Typical/Average,Paved,0,213,176,0,0,0,,Good Wood,,0,5,2008,Warranty Deed - Conventional,Normal Sale,157000
16,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,51.0,6120,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Brookside,Normal,Normal,Single-Family Detached,One and One-Half Story (Unfinished),Good,Very Good,1929,2001,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,832,832,Gas Forced Warm Air Furnace,Excellent,Yes,Fuse Box over 60 AMP,854,0,0,854,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Detached,1991.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,48,112,0,0,0,0,,Good Privacy,,0,7,2007,Warranty Deed - Conventional,Normal Sale,132000
17,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,11241,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Above Average,Good,1970,1970,Gable,Standard Shingle,Wood Siding,Wood Siding,Brick Face,180.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Average Living Quarters,578,Unfinished,0,426,1004,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004,0,0,1004,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1970.0,Finished,2,480,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,Shed (over 100 SF),700,3,2010,Warranty Deed - Conventional,Normal Sale,149000
18,DUPLEX - ALL STYLES AND AGES,Residential Low Density,72.0,10791,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer,Normal,Normal,,One Story,Below Average,Average,1967,1967,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Slab,,,,,0,,0,0,0,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1296,0,0,1296,0,0,2,0,2,2,Typical/Average,6,Typical Functionality,0,,Car Port,1967.0,Unfinished,2,516,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,Shed (over 100 SF),500,10,2006,Warranty Deed - Conventional,Normal Sale,90000
19,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,66.0,13695,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer West,Adjacent to E-W Railroad,Normal,Single-Family Detached,One Story,Average,Average,2004,2004,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,,0.0,Average/Typical,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical,No Exposure,Good Living Quarters,646,Unfinished,0,468,1114,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1114,0,0,1114,1,0,1,1,3,1,Good,6,Typical Functionality,0,,Detached,2004.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,102,0,0,0,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,159000
20,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,7560,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Average,Above Average,1958,1965,Hip,Standard Shingle,Brick Face,Plywood,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Low Quality,504,Unfinished,0,525,1029,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1339,0,0,1339,0,0,1,0,3,1,Typical/Average,6,Minor Deductions 1,0,,Attached,1958.0,Unfinished,1,294,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,Minimum Privacy,,0,5,2009,Court Officer Deed/Estate,Abnormal Sale,139000
21,2-STORY 1946 & NEWER,Residential Low Density,101.0,14215,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,Two Story,Very Good,Average,2005,2006,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,380.0,Good,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,Average Exposure,Unfinished,0,Unfinished,0,1158,1158,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1158,1218,0,2376,0,0,3,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace,Built-In Garage,2005.0,Rough Finished,3,853,Typical/Average,Typical/Average,Paved,240,154,0,0,0,0,,,,0,11,2006,Newly Constructed,Incomplete Construction,325300
22,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,57.0,7449,Paved,Gravel,Regular,Banked,All Public Utilities,Inside Lot,Gentle Slope,Iowa DOT and Rail Road,Normal,Normal,Single-Family Detached,One and One-Half Story (Unfinished),Good,Good,1930,1950,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,637,637,Gas Forced Warm Air Furnace,Excellent,Yes,60 AMP Fuse Box,1108,0,0,1108,0,0,1,0,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace,Attached,1930.0,Unfinished,1,280,Typical/Average,Typical/Average,Dirt/Gravel,0,0,205,0,0,0,,Good Privacy,,0,6,2007,Warranty Deed - Conventional,Normal Sale,139400
23,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75.0,9742,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,College Creek,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,2002,2002,Hip,Standard Shingle,Vinyl Siding,Vinyl Siding,Brick Face,281.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1777,1777,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1795,0,0,1795,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2002.0,Rough Finished,2,534,Typical/Average,Typical/Average,Paved,171,159,0,0,0,0,,,,0,9,2008,Warranty Deed - Conventional,Normal Sale,230000
24,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,44.0,4224,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Meadow Village,Normal,Normal,Townhouse End Unit,One Story,Average,Good,1976,1976,Gable,Standard Shingle,Cement Board,,,0.0,Average/Typical,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Good Living Quarters,840,Unfinished,0,200,1040,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1976.0,Unfinished,2,572,Typical/Average,Typical/Average,Paved,100,110,0,0,0,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,129900
25,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,8246,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Sawyer,Normal,Normal,Single-Family Detached,One Story,Average,Very Good,1968,2001,Gable,Standard Shingle,Plywood,Plywood,,0.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical,Minimum Exposure,Average Rec Room,188,Average Living Quarters,668,204,1060,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace,Attached,1968.0,Unfinished,1,270,Typical/Average,Typical/Average,Paved,406,90,0,0,0,0,,Minimum Privacy,,0,5,2010,Warranty Deed - Conventional,Normal Sale,154000
26,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,110.0,14230,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,2007,2007,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,640.0,Good,Average/Typical,Poured Concrete,Good (90-99 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1566,1566,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1600,0,0,1600,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2007.0,Rough Finished,3,890,Typical/Average,Typical/Average,Paved,0,56,0,0,0,0,,,,0,7,2009,Warranty Deed - Conventional,Normal Sale,256300
27,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,60.0,7200,Paved,,Regular,Near Flat/Level,All Public Utilities,Corner Lot,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Average,Good,1951,2000,Gable,Standard Shingle,Wood Siding,Wood Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Minimum Exposure,Below Average Living Quarters,234,Average Rec Room,486,180,900,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,900,0,0,900,0,1,1,0,3,1,Good,5,Typical Functionality,0,,Detached,2005.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,222,32,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,134800
28,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,98.0,11478,Paved,,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Northridge Heights,Normal,Normal,Single-Family Detached,One Story,Very Good,Average,2007,2008,Gable,Standard Shingle,Vinyl Siding,Vinyl Siding,Stone,200.0,Good,Average/Typical,Poured Concrete,Excellent (100+ inches),Typical,No Exposure,Good Living Quarters,1218,Unfinished,0,486,1704,Gas Forced Warm Air Furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1704,0,0,1704,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace,Attached,2008.0,Rough Finished,3,772,Typical/Average,Typical/Average,Paved,0,50,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,306000
29,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,47.0,16321,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,,Normal,Normal,Single-Family Detached,One Story,Average,Above Average,1957,1997,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,Good Exposure,Below Average Living Quarters,1277,Unfinished,0,207,1484,Gas Forced Warm Air Furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1600,0,0,1600,1,0,1,0,2,1,Typical/Average,6,Typical Functionality,2,Good - Masonry Fireplace,Attached,1957.0,Rough Finished,1,319,Typical/Average,Typical/Average,Paved,288,258,0,0,0,0,,,,0,12,2006,Warranty Deed - Conventional,Normal Sale,207500
30,1-STORY 1945 & OLDER,Residential Medium Density,60.0,6324,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Brookside,Adjacent to Feeder Street,"Within 200"" of N-S Railroad",Single-Family Detached,One Story,Below Average,Above Average,1927,1950,Gable,Standard Shingle,Metal Siding,Metal Siding,,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,520,520,Gas Forced Warm Air Furnace,Fair,No,Standard Circuit Breakers & Romex,520,0,0,520,0,0,1,0,1,1,Fair,4,Typical Functionality,0,,Detached,1920.0,Unfinished,1,240,Fair,Typical/Average,Paved,49,0,87,0,0,0,,,,0,5,2008,Warranty Deed - Conventional,Normal Sale,68500
31,2-STORY 1945 & OLDER,,50.0,8500,Paved,Paved,Regular,Near Flat/Level,All Public Utilities,Inside Lot,Gentle Slope,Iowa DOT and Rail Road,Adjacent to Feeder Street,Normal,Single-Family Detached,Two Story,Below Average,Below Average,1920,1950,Gambrel (Barn),Standard Shingle,Brick Face,Brick Face,,0.0,Average/Typical,Fair,Brick & Tile,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,649,649,Gas Forced Warm Air Furnace,Average/Typical,No,Standard Circuit Breakers & Romex,649,668,0,1317,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,,Detached,1920.0,Unfinished,1,250,Typical/Average,Fair,Dirt/Gravel,0,54,172,0,0,0,,Minimum Privacy,,0,7,2008,Warranty Deed - Conventional,Normal Sale,40000
32,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,8544,Paved,,Slightly Irregular,Near Flat/Level,All Public Utilities,Cul-de-sac,Gentle Slope,Sawyer,Normal,Normal,Single-Family Detached,One Story,Average,Above Average,1966,2006,Gable,Standard Shingle,Hard Board,Hard Board,,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical,No Exposure,Unfinished,0,Unfinished,0,1228,1228,Gas Forced Warm Air Furnace,Good,Yes,Standard Circuit Breakers & Romex,1228,0,0,1228,0,0,1,1,3,1,Good,6,Typical Functionality,0,,Attached,1966.0,Unfinished,1,271,Typical/Average,Typical/Average,Paved,0,65,0,0,0,0,,Minimum Privacy,,0,6,2008,Warranty Deed - Conventional,Normal Sale,149350
